Review,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_stemming,text_final
mantab,mantab,mantab,mantab,['mantab'],['mantab'],['mantab'],mantab
aplikasinya shopy sangat membantu walaupun agak lama pengiriman yaa🙏,aplikasinya shopy sangat membantu walaupun agak lama pengiriman yaa,aplikasinya shopy sangat membantu walaupun agak lama pengiriman yaa,aplikasinya shopy sangat membantu walaupun agak lama pengiriman yaa,"['aplikasinya', 'shopy', 'sangat', 'membantu', 'walaupun', 'agak', 'lama', 'pengiriman', 'yaa']","['aplikasinya', 'shopy', 'membantu', 'pengiriman', 'yaa']","['aplikasi', 'shopy', 'bantu', 'kirim', 'yaa']",aplikasi shopy bantu kirim yaa
puas belanja di shopee 👍👍,puas belanja di shopee,puas belanja di shopee,puas belanja di shopee,"['puas', 'belanja', 'di', 'shopee']","['puas', 'belanja', 'shopee']","['puas', 'belanja', 'shopee']",puas belanja shopee
ternyata masih ada iklan video pada saat buka aplikasi tolong perbaiki lagi.!!,ternyata masih ada iklan video pada saat buka aplikasi tolong perbaiki lagi,ternyata masih ada iklan video pada saat buka aplikasi tolong perbaiki lagi,ternyata masih ada iklan video pada saat buka aplikasi tolong perbaiki lagi,"['ternyata', 'masih', 'ada', 'iklan', 'video', 'pada', 'saat', 'buka', 'aplikasi', 'tolong', 'perbaiki', 'lagi']","['iklan', 'video', 'buka', 'aplikasi', 'tolong', 'perbaiki']","['iklan', 'video', 'buka', 'aplikasi', 'tolong', 'baik']",iklan video buka aplikasi tolong baik
"aplikasih nya emang buagusss banget, membantu buat orang belanja online makin mudah. tapi sayang nya dari pihak ekspedisi nya yg jadi permasalahan. mulai dari kurir kurang ramah, kurir yg tiba"" ngereturt barang, kurir yg semau mau nya jd agak kurang nyaman belanja online lagi huhu",aplikasih nya emang buagusss banget membantu buat orang belanja online makin mudah tapi sayang nya dari pihak ekspedisi nya yg jadi permasalahan mulai dari kurir kurang ramah kurir yg tiba ngereturt barang kurir yg semau mau nya jd agak kurang nyaman belanja online lagi huhu,aplikasih nya emang buagusss banget membantu buat orang belanja online makin mudah tapi sayang nya dari pihak ekspedisi nya yg jadi permasalahan mulai dari kurir kurang ramah kurir yg tiba ngereturt barang kurir yg semau mau nya jd agak kurang nyaman belanja online lagi huhu,aplikasih nya emang buagusss banget membantu buat orang belanja online makin mudah tapi sayang nya dari pihak ekspedisi nya yang jadi permasalahan mulai dari kurir kurang ramah kurir yang tiba ngereturt barang kurir yang semau mau nya jd agak kurang nyaman belanja online lagi huhu,"['aplikasih', 'nya', 'emang', 'buagusss', 'banget', 'membantu', 'buat', 'orang', 'belanja', 'online', 'makin', 'mudah', 'tapi', 'sayang', 'nya', 'dari', 'pihak', 'ekspedisi', 'nya', 'yang', 'jadi', 'permasalahan', 'mulai', 'dari', 'kurir', 'kurang', 'ramah', 'kurir', 'yang', 'tiba', 'ngereturt', 'barang', 'kurir', 'yang', 'semau', 'mau', 'nya', 'jd', 'agak', 'kurang', 'nyaman', 'belanja', 'online', 'lagi', 'huhu']","['aplikasih', 'emang', 'buagusss', 'membantu', 'orang', 'belanja', 'online', 'mudah', 'sayang', 'ekspedisi', 'permasalahan', 'kurir', 'ramah', 'kurir', 'ngereturt', 'barang', 'kurir', 'semau', 'jd', 'nyaman', 'belanja', 'online', 'huhu']","['aplikasih', 'emang', 'buagusss', 'bantu', 'orang', 'belanja', 'online', 'mudah', 'sayang', 'ekspedisi', 'masalah', 'kurir', 'ramah', 'kurir', 'ngereturt', 'barang', 'kurir', 'mau', 'jd', 'nyaman', 'belanja', 'online', 'huhu']",aplikasih emang buagusss bantu orang belanja online mudah sayang ekspedisi masalah kurir ramah kurir ngereturt barang kurir mau jd nyaman belanja online huhu
berguna bgt buat orang yang malas keluar rumah tinggal mesen aja di shopee,berguna bgt buat orang yang malas keluar rumah tinggal mesen aja di shopee,berguna bgt buat orang yang malas keluar rumah tinggal mesen aja di shopee,berguna banget buat orang yang malas keluar rumah tinggal mesen aja di shopee,"['berguna', 'banget', 'buat', 'orang', 'yang', 'malas', 'keluar', 'rumah', 'tinggal', 'mesen', 'aja', 'di', 'shopee']","['berguna', 'orang', 'malas', 'rumah', 'tinggal', 'mesen', 'aja', 'shopee']","['guna', 'orang', 'malas', 'rumah', 'tinggal', 'mesen', 'aja', 'shopee']",guna orang malas rumah tinggal mesen aja shopee
sangat baik,sangat baik,sangat baik,sangat baik,"['sangat', 'baik']",[],[],
bagus tapi barang yang aku pesan biasanya nggak sesuai ekspetasi dan membutuh kan kouta yang banyak kalo nggak gitu nggak bisa macet macet,bagus tapi barang yang aku pesan biasanya nggak sesuai ekspetasi dan membutuh kan kouta yang banyak kalo nggak gitu nggak bisa macet macet,bagus tapi barang yang aku pesan biasanya nggak sesuai ekspetasi dan membutuh kan kouta yang banyak kalo nggak gitu nggak bisa macet macet,bagus tapi barang yang aku pesan biasanya tidak sesuai ekspetasi dan membutuh kan kouta yang banyak kalo tidak gitu tidak bisa macet macet,"['bagus', 'tapi', 'barang', 'yang', 'aku', 'pesan', 'biasanya', 'tidak', 'sesuai', 'ekspetasi', 'dan', 'membutuh', 'kan', 'kouta', 'yang', 'banyak', 'kalo', 'tidak', 'gitu', 'tidak', 'bisa', 'macet', 'macet']","['bagus', 'barang', 'pesan', 'sesuai', 'ekspetasi', 'membutuh', 'kouta', 'kalo', 'gitu', 'macet', 'macet']","['bagus', 'barang', 'pesan', 'sesuai', 'ekspetasi', 'butuh', 'kouta', 'kalo', 'gitu', 'macet', 'macet']",bagus barang pesan sesuai ekspetasi butuh kouta kalo gitu macet macet
"mempermudah belanja. berharap ada produk yang lebih berkualitas, bukan cuma murah",mempermudah belanja berharap ada produk yang lebih berkualitas bukan cuma murah,mempermudah belanja berharap ada produk yang lebih berkualitas bukan cuma murah,mempermudah belanja berharap ada produk yang lebih berkualitas bukan cuma murah,"['mempermudah', 'belanja', 'berharap', 'ada', 'produk', 'yang', 'lebih', 'berkualitas', 'bukan', 'cuma', 'murah']","['mempermudah', 'belanja', 'berharap', 'produk', 'berkualitas', 'murah']","['mudah', 'belanja', 'harap', 'produk', 'kualitas', 'murah']",mudah belanja harap produk kualitas murah
memudahkan saat berbelanja mantapp dahh,memudahkan saat berbelanja mantapp dahh,memudahkan saat berbelanja mantapp dahh,memudahkan saat berbelanja mantapp dahh,"['memudahkan', 'saat', 'berbelanja', 'mantapp', 'dahh']","['memudahkan', 'berbelanja', 'mantapp', 'dahh']","['mudah', 'belanja', 'mantapp', 'dahh']",mudah belanja mantapp dahh
